District,Region,Variable_2,Local_Bivariate_I,P_Value,Significant
Berekum West,Bono,VCT_Women_pct,-0.11544933877502124,0.249,0
Ahafo Ano South West,Ashanti,VCT_Women_pct,-0.0026351952123298433,0.187,0
Amansie South,Ashanti,VCT_Women_pct,-0.002803574531080142,0.168,0
Atwima Nwabiagya North,Ashanti,VCT_Women_pct,-0.004318988399832825,0.047,1
Akrofuom,Ashanti,VCT_Women_pct,-0.002740432286548779,0.095,0
Adansi North,Ashanti,VCT_Women_pct,-0.004318988399832824,0.021,1
Obuasi East,Ashanti,VCT_Women_pct,-0.004318988399832825,0.074,0
Afigya Kwabre North,Ashanti,VCT_Women_pct,-0.004318988399832825,0.074,0
"Kumasi Metropolitan Area (KMA)-Bantama, Manhyia North, Manhyia South, Nhyiaeso, & Subin",Ashanti,VCT_Women_pct,-0.004318988399832824,0.021,1
Oforikrom Municipal,Ashanti,VCT_Women_pct,-0.004318988399832825,0.047,1
Asokwa Municipal,Ashanti,VCT_Women_pct,-0.004318988399832825,0.074,0
Old Tafo Municipal,Ashanti,VCT_Women_pct,-0.004318988399832825,0.047,1
Suame Municipal,Ashanti,VCT_Women_pct,-0.004318988399832824,0.021,1
Juaben Municipal,Ashanti,VCT_Women_pct,-0.004318988399832825,0.047,1
Ablekuma Central Municipal,Greater Accra,VCT_Women_pct,0.4093255821820398,0.159,0
Korle Klottey Municipal,Greater Accra,VCT_Women_pct,0.4093255821820399,0.078,0
Ablekuma North Municipal,Greater Accra,VCT_Women_pct,0.4093255821820399,0.032,1
Ayawaso North Municipal,Greater Accra,VCT_Women_pct,0.4093255821820399,0.078,0
Ayawaso East Municipal,Greater Accra,VCT_Women_pct,0.4093255821820399,0.078,0
Okaikoi North Municipal,Greater Accra,VCT_Women_pct,0.4093255821820399,0.048,1
Ga North Municipal,Greater Accra,VCT_Women_pct,0.4093255821820398,0.159,0
Weija Gbawe Municipal,Greater Accra,VCT_Women_pct,0.276914564227134,0.187,0
Krowor Municipal,Greater Accra,VCT_Women_pct,0.4093255821820399,0.419,0
Tema Metropolitan Area (TMA)-Tema Central & Tema East,Greater Accra,VCT_Women_pct,0.4093255821820399,0.419,0
East Gonja Municipal,Savannah,VCT_Women_pct,2.938343588412151,0.004,1
Ablekuma West Municipal,Greater Accra,VCT_Women_pct,0.4093255821820399,0.122,0
Ayawaso Central Municipal,Greater Accra,VCT_Women_pct,0.4093255821820399,0.122,0
"Accra Metropolitan Area (AMA)-Ablekuma South, Ashiedu Keteke & Okaikoi South",Greater Accra,VCT_Women_pct,0.4093255821820398,0.156,0
Anloga,Volta,VCT_Women_pct,0.12106164631114905,0.206,0
"Sekondi Takoradi Metropolitan Area (STMA)- Takoradi, Sekondi & Essikado-Ketan",Western,VCT_Women_pct,0.4340576613387381,0.206,0
Kwahu South Municipal,Eastern,VCT_Women_pct,1.137194389229138,0.001,1
Asene Manso Akroso,Eastern,VCT_Women_pct,1.137194389229138,0.001,1
Upper Manya Krobo,Eastern,VCT_Women_pct,1.137194389229138,0.001,1
Achiase,Eastern,VCT_Women_pct,1.137194389229138,0.023,1
Okere,Eastern,VCT_Women_pct,1.137194389229138,0.003,1
Yilo Krobo Municipal,Eastern,VCT_Women_pct,1.137194389229138,0.001,1
Atiwa West,Eastern,VCT_Women_pct,1.137194389229138,0.001,1
New Juaben North Municipal,Eastern,VCT_Women_pct,1.137194389229138,0.001,1
Fanteakwa North,Eastern,VCT_Women_pct,1.137194389229138,0.001,1
Birim North,Eastern,VCT_Women_pct,1.137194389229138,0.001,1
Asuogyaman,Eastern,VCT_Women_pct,1.137194389229138,0.003,1
Kwahu East,Eastern,VCT_Women_pct,1.137194389229138,0.003,1
Kwahu West Municipal,Eastern,VCT_Women_pct,1.137194389229138,0.001,1
Lower Manya Krobo Municipal,Eastern,VCT_Women_pct,1.137194389229138,0.003,1
Nsawam Adoagyiri Municipal,Eastern,VCT_Women_pct,1.137194389229138,0.003,1
Akwapim South Municipal,Eastern,VCT_Women_pct,1.137194389229138,0.003,1
Denkyembuor,Eastern,VCT_Women_pct,1.137194389229138,0.001,1
Kwaebibirem Municipal,Eastern,VCT_Women_pct,1.137194389229138,0.001,1
Kwahu Afram Plains South,Eastern,VCT_Women_pct,1.137194389229138,0.001,1
Kwahu Afram Plains North,Eastern,VCT_Women_pct,1.137194389229138,0.003,1
Suhum Municipal,Eastern,VCT_Women_pct,1.137194389229138,0.001,1
Ayensuano,Eastern,VCT_Women_pct,1.137194389229138,0.001,1
Abuakwa South Municipal,Eastern,VCT_Women_pct,1.137194389229138,0.001,1
Upper West Akim,Eastern,VCT_Women_pct,1.137194389229138,0.001,1
West Akim Municipal,Eastern,VCT_Women_pct,1.137194389229138,0.001,1
Akyemansa,Eastern,VCT_Women_pct,1.137194389229138,0.001,1
Atiwa East,Eastern,VCT_Women_pct,1.137194389229138,0.001,1
New Juaben South Municipal,Eastern,VCT_Women_pct,1.137194389229138,0.001,1
Birim South,Eastern,VCT_Women_pct,1.137194389229138,0.001,1
Abuakwa North Municipal,Eastern,VCT_Women_pct,1.137194389229138,0.001,1
Akwapim North Municipal,Eastern,VCT_Women_pct,1.137194389229138,0.001,1
Fanteakwa South,Eastern,VCT_Women_pct,1.137194389229138,0.001,1
Birim Central Municipal,Eastern,VCT_Women_pct,1.137194389229138,0.001,1
